Day,Open,High,Low,Close,Volume
156,	4096.47,	4164.86,	4080.19,	4160.68,	3476470000.00
155,	4134.72,	4168.78,	4109.18,	4121.43,	3852050000.00
154,	4137.57,	4142.67,	4098.67,	4108.54,	3107080000.00
153,	4095.41,	4177.51,	4074.37,	4176.82,	3604930000.00
152,	4149.78,	4166.54,	4073.85,	4101.23,	4145710000.00
151,	4151.09,	4168.34,	4104.88,	4132.15,	5192220000.00
150,	4077.43,	4158.49,	4077.43,	4158.24,	3560560000.00
149,	3984.6,	4075.14,	3984.6,	4057.84,	3961940000.00
148,	3929.59,	3999.33,	3925.03,	3978.73,	4322190000.00
147,	3942.94,	3955.68,	3875.13,	3941.48,	3901640000.00
146,	3919.42,	3981.88,	3909.04,	3973.75,	3392770000.00
145,	3927.76,	3943.42,	3810.32,	3901.36,	4278520000.00
144,	3899,	3945.96,	3876.58,	3900.79,	4212140000.00
143,	4051.98,	4051.98,	3911.91,	3923.68,	4428960000.00
142,	4052,	4090.72,	4033.93,	4088.85,	3846580000.00
141,	4013.02,	4046.46,	3983.99,	4008.01,	3824320000.00
140,	3963.9,	4038.88,	3963.9,	4023.89,	4142950000.00
139,	3903.95,	3964.8,	3858.87,	3930.08,	4964130000.00
138,	3990.08,	4049.09,	3928.82,	3935.18,	4683220000.00
137,	4035.18,	4068.82,	3958.17,	4001.05,	4630150000.00
136,	4081.27,	4081.27,	3975.48,	3991.24,	4746120000.00
135,	4128.17,	4157.69,	4067.91,	4123.34,	4254300000.00
134,	4270.43,	4270.43,	4106.01,	4146.87,	4197620000.00
133,	4181.18,	4307.66,	4148.91,	4300.17,	4236210000.00
132,	4159.78,	4200.1,	4147.08,	4175.48,	3877530000.00
131,	4130.61,	4169.81,	4062.51,	4155.38,	4474060000.00
130,	4253.75,	4269.68,	4124.28,	4131.93,	3943480000.00
129,	4222.58,	4308.45,	4188.63,	4287.5,	3969440000.00
128,	4186.52,	4240.71,	4162.9,	4183.96,	3876340000.00
127,	4278.14,	4278.14,	4175.04,	4175.2,	3760420000.00
126,	4255.34,	4299.02,	4200.82,	4296.12,	4061070000.00
125,	4385.83,	4385.83,	4267.62,	4271.78,	3930660000.00
