Days,Open,High,Low,Close
16949,	560.89,	562,	559.07,	561
16948,	555.27,	561.56,	554.27,	560.89
16947,	556.78,	557.19,	553.8,	554.78
16946,	556.37,	558.48,	555.77,	557.19
16945,	553.9,	556.57,	553.05,	556.37
16944,	547.26,	553.99,	546.59,	553.99
16943,	547.09,	549.98,	546.28,	547.26
16942,	544.75,	547.1,	544.43,	547.09
16941,	543.87,	546.82,	543.51,	544.75
16940,	544.73,	546.25,	540.79,	543.87
16939,	542.43,	546.33,	540.72,	544.73
16938,	544.11,	547.07,	542.19,	542.43
16937,	549.71,	549.79,	544.06,	544.13
16936,	551.07,	551.07,	548.23,	549.71
16935,	543.98,	551.07,	543.98,	551.07
16934,	544.98,	545.93,	543.9,	543.98
16933,	545.22,	545.44,	543.43,	544.98
16932,	539.83,	545.22,	539.83,	545.22
16931,	537.51,	539.98,	537.12,	539.83
16930,	536.48,	539.07,	535.56,	537.12
16929,	536.05,	536.48,	533.83,	536.47
16928,	530.88,	536.23,	530.88,	536.05
16927,	527.94,	532.54,	527.94,	530.88
16926,	532.35,	532.35,	526,	527.94
16925,	533.13,	533.56,	531.65,	532.35
16924,	535.55,	535.55,	531.66,	533.13
16923,	535.6,	537.09,	535.14,	535.55
16922,	532.51,	537.73,	532.47,	535.6
16921,	533.49,	536.91,	529.55,	532.51
16920,	533.4,	534.21,	530.05,	533.49
16919,	523.7,	533.41,	522.17,	533.4
16918,	523.65,	525.58,	521.38,	523.58
16917,	528.59,	528.59,	522.51,	523.65
16916,	528.37,	529.04,	524.89,	528.59
16915,	528.59,	531.91,	525.57,	528.61
16914,	523.65,	528.59,	523.65,	528.59
16913,	519.19,	524.34,	519.19,	523.65
16912,	519.58,	519.58,	517.07,	519.19
16911,	526.88,	526.88,	519.58,	519.58
16910,	528.19,	528.42,	525.38,	527.07
16909,	527.74,	529.08,	526.45,	528.19
16908,	525.55,	527.74,	525,	527.74
16907,	524.37,	527.05,	523.3,	525.55
16906,	524.33,	524.89,	522.7,	524.37
16905,	523.74,	524.4,	521.53,	524.36
16904,	523.96,	525.99,	521.79,	523.56
16903,	520.09,	525.15,	519.14,	523.96
16902,	520.75,	522.35,	518.28,	520.12
16901,	520.48,	525.4,	519.44,	520.54
16900,	514.93,	520.54,	514.86,	520.48
16899,	514.23,	515.18,	513.03,	514.86
16898,	514.76,	515.6,	513.42,	514.26
16897,	513.64,	515.29,	510.9,	514.71
16896,	512.7,	513.62,	511.63,	513.55
16895,	511.99,	513.04,	510.47,	512.66
16894,	512.8,	513.54,	511.32,	512.1
16893,	508.49,	513.02,	507.44,	512.89
16892,	505.63,	508.49,	505.63,	508.49
16891,	504.92,	506.5,	503.44,	505.29
16890,	505.37,	505.89,	501.19,	504.92
16889,	506.43,	507.65,	504.12,	505.37
16888,	509.23,	512.03,	505.43,	506.13
16887,	507.19,	509.83,	507.17,	509.23
16886,	505.59,	507.17,	505.07,	507.17
16885,	507.24,	508.85,	505.29,	505.53
16884,	506.3,	507.01,	504.61,	507.01
16883,	506.13,	507.19,	503.59,	506.42
16882,	505.63,	507.1,	505,	506.08
16881,	505.27,	505.57,	503.17,	505.57
16880,	501.85,	505.26,	501.85,	505.24
16879,	500.7,	501.91,	500.2,	501.85
16878,	501.94,	502.22,	495.7,	500.71
16877,	503.17,	504.66,	501,	502.22
16876,	503.92,	508.15,	500.96,	503.12
16875,	503.19,	503.91,	501.83,	503.9
16874,	500.97,	503.2,	500.93,	503.2
16873,	496.07,	500.97,	496.07,	500.97
16872,	495.67,	496.77,	494.19,	495.95
16871,	495.07,	495.67,	493.67,	495.67
16870,	496.15,	499.19,	494.04,	495.07
16869,	495.52,	496.61,	495.27,	496.14
16868,	495.43,	496.67,	494.95,	495.52
16867,	491.87,	495.74,	491.78,	495.41
16866,	492.89,	492.89,	490.83,	491.88
16865,	490.05,	493.69,	490.05,	492.89
16864,	489.57,	491.28,	489.35,	490.05
16863,	483.16,	490.37,	483.16,	489.57
16862,	483.14,	483.74,	482.05,	483.16
16861,	482.12,	484.08,	481.57,	483.14
16860,	485.63,	485.63,	479.7,	482.12
16859,	485.42,	485.7,	481.52,	485.63
16858,	485.13,	485.42,	483.07,	485.42
16857,	485.65,	485.71,	483.19,	485.13
16856,	487.39,	487.83,	484.92,	485.65
16855,	483.81,	487.44,	483.77,	487.39
16854,	488.26,	488.26,	483.18,	483.81
16853,	486.82,	488.28,	485.7,	488.11
16852,	485.07,	489.19,	485.07,	486.91
16851,	482.74,	486.15,	482.45,	485.07
16850,	481.95,	483.26,	481.94,	482.72
16849,	485.15,	485.22,	481.97,	481.97
16848,	484.56,	485.22,	483.05,	485.22
16847,	482.55,	485.54,	481.77,	484.54
16846,	481.65,	482.94,	480.89,	482.55
16845,	481.46,	482.86,	481.07,	481.65
16844,	480.19,	481.96,	479.53,	481.46
16843,	481.19,	482,	479.91,	480.19
16842,	480.81,	482.6,	480.4,	481.19
16841,	481.14,	481.32,	479.69,	480.81
16840,	478.64,	481.95,	478.36,	481.14
16839,	472.78,	479.91,	472.78,	478.65
16838,	470.4,	472.79,	469.95,	472.79
16837,	470.42,	472.75,	469.29,	470.4
16836,	468.51,	471.03,	468.18,	470.42
16835,	470.39,	470.52,	467.49,	468.51
16834,	468.32,	471.36,	468.32,	470.39
16833,	467.44,	468.62,	466.9,	468.32
16832,	465.86,	469.51,	464.4,	467.44
16831,	465.81,	466.88,	465.47,	465.86
16830,	464.78,	466.23,	461.14,	465.82
16829,	466.95,	466.99,	463.99,	464.78
16828,	469.72,	469.72,	466.4,	466.95
16827,	470.05,	470.43,	468.03,	469.71
16826,	469.38,	470.15,	468.19,	470.05
16825,	465.97,	470.39,	465.97,	469.38
16824,	461.64,	466.43,	461.64,	465.97
16823,	461.64,	461.93,	460.63,	461.64
16822,	461.68,	463.61,	458.65,	461.66
16821,	460.9,	464.59,	460.9,	461.68
16820,	460.67,	461.77,	459.74,	460.83
16819,	460.38,	462.49,	459.47,	460.68
16818,	460.73,	461.3,	459.75,	460.34
16817,	459.13,	460.72,	457.56,	460.71
16816,	459.21,	459.27,	457.2,	459.11
16815,	461.17,	462.12,	459.24,	459.27
16814,	460.92,	461.81,	460.36,	461.17
16813,	462.47,	462.49,	459,	460.86
16812,	459.85,	462.73,	459.85,	462.47
16811,	459.7,	461.32,	459.39,	459.83
16810,	459.62,	461.21,	459.33,	459.68
16809,	457.24,	461.7,	457.17,	459.61
16808,	458.08,	458.45,	456.37,	457.1
16807,	458.78,	458.78,	456.64,	457.91
16806,	455.35,	458.8,	455.35,	458.8
16805,	454.97,	456.84,	454.5,	455.34
16804,	450.05,	456.16,	450.05,	454.97
16803,	449.52,	451.69,	449.43,	450.15
16802,	446.95,	449.48,	445.62,	449.47
16801,	445.45,	446.98,	442.88,	446.96
16800,	451.23,	452.06,	444.59,	445.45
16799,	453.11,	453.11,	450.01,	451.23
16798,	453.29,	453.93,	450.35,	453.11
16797,	453.3,	455.04,	452.06,	453.32
16796,	448.92,	453.31,	448,	453.3
16795,	453.55,	453.91,	447.97,	448.92
16794,	455.17,	457.13,	453.27,	453.69
16793,	454.23,	455.17,	452.14,	455.17
16792,	452.26,	454.19,	451.04,	454.16
16791,	449.94,	452.87,	449.94,	452.29
16790,	450.01,	450.61,	444.18,	449.93
16789,	457.95,	458.03,	450.08,	450.09
16788,	461.69,	463.41,	457.55,	458.3
16787,	463.6,	463.84,	460.25,	461.47
16786,	465.71,	465.83,	461.47,	463.57
16785,	465.06,	466.25,	464.28,	465.62
16784,	466.04,	468.51,	462.95,	465.03
16783,	462.44,	466.29,	462.35,	466.04
16782,	464.17,	464.17,	461.45,	462.35
16781,	465.4,	467.79,	463.73,	464.37
16780,	465.65,	469.95,	463.46,	465.4
16779,	463.08,	467.54,	463.07,	465.65
16778,	462.31,	463.56,	461.25,	463.07
16777,	467.96,	469.28,	462.28,	462.28
16776,	466.5,	468.64,	466.4,	467.91
16775,	468.41,	470.92,	466.36,	466.51
16774,	472.26,	472.26,	467.64,	468.42
16773,	473.76,	474.74,	472.33,	472.35
16772,	465.84,	473.78,	465.8,	473.77
16771,	462.68,	465.85,	462.62,	465.85
16770,	461.55,	463.77,	461.22,	462.62
16769,	460.83,	461.95,	458.26,	461.53
16768,	464.89,	466.37,	460.8,	460.83
16767,	466.69,	466.69,	463.83,	464.89
16766,	470.37,	470.37,	465.39,	466.85
16765,	467.69,	471.43,	465.96,	470.28
16764,	469.02,	469.19,	466.54,	467.66
16763,	469.11,	469.88,	468.16,	468.96
16762,	467.78,	469.53,	466.11,	469.1
16761,	465.56,	471.3,	465.56,	467.79
